[10000, 0.5]
[9125, 0.600986301369863]
[8957, 0.6045550965725132]
[9125, 0.6]
[9168, 0.6005671902268761]
[9159, 0.5900207446227754]
[9105, 0.5912136188907194]
[9177, 0.5840688678217283]
[9065, 0.5728626585769443]
[9102, 0.5799824214458361]
[8956, 0.5757034390352836]
[8981, 0.5742122258100434]
[8905, 0.573385738349242]
[8937, 0.5733467606579389]
[8943, 0.5775466845577547]
[8891, 0.5804746372736475]
[8852, 0.57930411206507]
[8773, 0.587142368631027]
[8803, 0.590139725093718]
[8858, 0.5830887333483856]
[8965, 0.5915225878416063]
[8873, 0.5974304068522484]
[8745, 0.5974842767295597]
[8603, 0.6028129722189933]
[8613, 0.6033902240798793]
[8553, 0.6045831871857827]
[8436, 0.6066856330014224]
[8381, 0.6092351748001432]
[8206, 0.6147940531318548]
[8332, 0.6186989918386941]
[8094, 0.5990857425253274]
[8246, 0.5971380063060878]
[8199, 0.5939748749847542]
[8296, 0.6000482160077145]
[8328, 0.6018251681075889]
[8312, 0.6085178055822906]
[8367, 0.6091789171746146]
[8323, 0.607353117866154]
[8265, 0.611978221415608]
[8419, 0.6221641525121748]
[8410, 0.6273483947681332]
[8341, 0.6276225872197578]
[8269, 0.6334502358205345]
[8269, 0.6368363768291209]
[8180, 0.6427872860635697]
[8178, 0.6386647101980925]
[8067, 0.6390231808602951]
[8073, 0.6328502415458938]
[8057, 0.6296388233833933]
[8194, 0.6252135709055406]
[8143, 0.6297433378361783]
[8078, 0.6260212923991086]
[8025, 0.6254205607476635]
[8186, 0.6213046665037869]
[8119, 0.6208892720778421]
[8075, 0.6204334365325077]
[8120, 0.6171182266009853]
[8208, 0.6170808966861598]
[8136, 0.6187315634218289]
[8032, 0.6121762948207171]
[7946, 0.6049584696702743]
[7955, 0.6003771213073539]
[7839, 0.6063273376706213]
[7808, 0.6020747950819673]
[7730, 0.6042690815006468]
[7775, 0.6056591639871383]
[7632, 0.6065251572327044]
[7658, 0.5948028205797858]
[7530, 0.603054448871182]
[7456, 0.6095761802575107]
[7566, 0.6108908273856728]
[7478, 0.6235624498529019]
[7509, 0.6129977360500732]
[7357, 0.6124779121924697]
[7317, 0.6133661336613366]
[7327, 0.6089804831445339]
[7351, 0.6124336824921779]
[7236, 0.6118021006080707]
[7339, 0.6156152064313939]
[7412, 0.6156233135456017]
[7382, 0.6095908967759415]
[7528, 0.6171625929861849]
[7607, 0.6119363743920073]
[7740, 0.6102067183462533]
[7797, 0.6106194690265486]
[7740, 0.6058139534883721]
[7843, 0.613795741425475]
[7796, 0.611723961005644]
[7836, 0.6163859111791731]
[7766, 0.6273499871233582]
[7763, 0.6382841684915626]
[7715, 0.6421257290991574]
[7899, 0.6475503228256742]
[7977, 0.6502444528018052]
[8169, 0.6541804382421349]
[8267, 0.6551348735938067]
[8277, 0.6487857919536064]
[8301, 0.6461872063606794]
[8263, 0.6525475009076607]
[8261, 0.6498002663115846]
[8132, 0.6499016232169208]
[8101, 0.6458461918281694]
[8123, 0.6555459805490582]
[7993, 0.6511947954460152]
[7944, 0.6465256797583081]
[8177, 0.6470588235294118]
[8007, 0.6591732234294991]
[8060, 0.6492555831265509]
[7928, 0.6555247225025227]
[8049, 0.6497701577835756]
[8110, 0.6475955610357583]
[8050, 0.6428571428571429]
[7944, 0.6416163141993958]
[7953, 0.643027788256004]
[7815, 0.6415866922584773]
[7819, 0.6505947052052692]
[7722, 0.6482776482776483]
[7656, 0.6389759665621735]
[7635, 0.6352324819908317]
[7781, 0.6375787173885105]
[7737, 0.6427555900219724]
[7589, 0.6346027144551324]
[7688, 0.6372268470343392]
[7748, 0.6413267940113577]
[7886, 0.6401217347197565]
[7867, 0.65183678657684]
[7857, 0.6456662848415425]
[7857, 0.6505027364133893]
[7881, 0.6549930211902043]
[7929, 0.6516584689115904]
[7930, 0.6575031525851198]
[7963, 0.6547783498681401]
[7780, 0.6511568123393316]
[7891, 0.6432644785198327]
[7809, 0.6418235369445512]
[7896, 0.6385511651469098]
[7830, 0.6371647509578544]
[7981, 0.637388798396191]
[8101, 0.6406616467102827]
[8018, 0.6329508605637316]
[7891, 0.6355341528323406]
[7945, 0.6378854625550661]
[7932, 0.6458648512355017]
[7926, 0.6424425939944487]
[8077, 0.6496223845487186]
[8102, 0.6602073562083436]
[8061, 0.6562461233097631]
[8105, 0.6498457742134485]
[8254, 0.6559244002907682]
[8340, 0.6545563549160671]
[8237, 0.6565497147019546]
[8275, 0.6483383685800604]
[8078, 0.6486754147066105]
[8133, 0.6420754948973318]
