[10000, 0.5]
[13870, 0.7632299927901947]
[14026, 0.7605161842292885]
[13991, 0.7578443284968909]
[13989, 0.7560225891772107]
[13878, 0.7550799827064418]
[13860, 0.7577922077922078]
[13880, 0.7536743515850144]
[13847, 0.7557593702607063]
[13920, 0.7525862068965518]
[13811, 0.752371298240533]
[14031, 0.7559689259496828]
[14095, 0.7616885420361831]
[14073, 0.7619555176579266]
[14173, 0.7587666690185564]
[14276, 0.7574950966657327]
[14358, 0.757835353113247]
[14450, 0.7573010380622838]
[14653, 0.7550672217293387]
[14699, 0.7564460167358323]
[14738, 0.7578368842448093]
[14875, 0.7542857142857143]
[14675, 0.7543441226575809]
[14665, 0.7523354926696215]
[14717, 0.7521913433444316]
[14473, 0.7515373454017826]
[14424, 0.754853022739878]
[14198, 0.7542611635441612]
[14222, 0.7557305582899733]
[14115, 0.7607509741409848]
[13933, 0.7627215962104357]
[13747, 0.7611842583836473]
[13720, 0.76100583090379]
[13779, 0.7577472966107845]
[13735, 0.7621405169275574]
[13783, 0.7650729159109048]
[13869, 0.7711442786069652]
[13931, 0.7730241906539372]
[13793, 0.7740883056622925]
[13780, 0.7695210449927431]
[13591, 0.7683025531601795]
[13912, 0.7701265094882116]
[13976, 0.7708214081282198]
[13908, 0.7675438596491229]
[14039, 0.7801125436284636]
[13983, 0.7740828148465995]
[13956, 0.7739323588420751]
[13991, 0.7695661496676435]
[13800, 0.7671739130434783]
[13650, 0.7721611721611722]
[13704, 0.772985989492119]
[13686, 0.7693263188659945]
[13607, 0.77151466157125]
[13645, 0.7698057896665446]
[13708, 0.7715202801283921]
[13821, 0.7696982852181463]
[13994, 0.7651136201229098]
[14000, 0.7686428571428572]
[14030, 0.7660727013542409]
[14016, 0.7662671232876712]
[14093, 0.7654154544809479]
[13992, 0.7644368210405946]
